timestamp,tag_id,x_pos,y_pos,heading,direction,energy,speed,total_distance
05:13.3,12,34.5918,38.5718,2.09942,2.18626,249.546,0.430009,239.591
05:13.3,3,71.1769,71.8776,-2.19572,0,1.24455,0,2.89645
05:13.3,13,35.3596,22.2353,0.0663111,-1.70671,181.667,1.64588,234.888
05:13.3,8,53.2339,41.7572,2.54832,-2.3439,165.053,0.272026,287.48
05:13.3,15,42.6421,42.4544,-0.0556558,-0.538409,145.602,0.520756,205.035
05:13.3,2,35.121,29.9403,-1.85228,-2.97015,142.976,1.10367,203.728
05:13.3,7,41.6881,49.9534,1.75813,-0.00868211,155.1,0.298778,380.156
05:13.3,6,47.2643,19.8043,2.12272,2.8201,243.282,0.565954,278.326
05:13.3,11,43.9797,28.8132,1.94474,-1.27623,253.855,0.568939,274.848
05:13.3,10,39.5439,32.6648,0.870416,3.14069,332.585,1.85288,334.054
05:13.4,16,35.3014,47.5268,1.74594,0,259.163,0,299.465
05:13.4,12,34.6074,38.5565,2.07373,2.40208,249.55,0.442191,239.613
05:13.4,3,71.1769,71.8776,-2.19575,0,1.24455,0,2.89645
05:13.4,13,35.276,22.2328,0.0638868,-1.5693,181.676,1.68686,234.972
05:13.4,8,53.2238,41.7527,2.53547,-1.8286,165.058,0.210667,287.491
05:13.4,15,42.6295,42.4752,-0.0482691,-0.548396,145.609,0.472411,205.059
05:13.4,2,35.1123,29.8797,-1.85624,-3.00778,142.99,1.26266,203.789
05:13.4,7,41.6916,49.9686,1.71937,0.30081,155.105,0.320322,380.172
05:13.4,6,47.2721,19.7761,2.13172,2.88544,243.283,0.591425,278.355
05:13.4,11,43.9548,28.823,1.98459,-1.16446,253.859,0.521762,274.875
05:13.4,10,39.5413,32.5712,0.767615,-3.10481,332.609,1.87948,334.148
05:13.4,16,35.3014,47.5268,1.7521,0,259.164,0,299.465
05:13.4,12,34.6201,38.5372,2.0647,2.60471,249.551,0.47287,239.636
05:13.4,3,71.1769,71.8776,-2.19589,0,1.24455,0,2.89645
05:13.4,13,35.1902,22.2406,0.0508892,-1.45026,181.689,1.73592,235.058
05:13.4,8,53.2133,41.7554,2.52756,-1.16128,165.066,0.229552,287.502
05:13.4,15,42.618,42.4936,-0.0156997,-0.562624,145.613,0.421942,205.081
05:13.4,2,35.1046,29.8114,-1.86125,-3.03573,143.006,1.41225,203.858
05:13.4,7,41.7,49.9838,1.70921,0.570903,155.114,0.358886,380.19
05:13.4,6,47.2785,19.7463,2.13927,2.94429,243.285,0.618848,278.386
05:13.4,11,43.9338,28.8346,2.03912,-1.03133,253.865,0.464886,274.899
05:13.4,10,39.5351,32.4771,0.681999,-3.06641,332.797,1.88735,334.242
05:13.5,16,35.3014,47.5268,1.75557,0,259.166,0,299.465
05:13.5,12,34.6302,38.5145,2.07382,2.75698,249.552,0.503883,239.661
05:13.5,3,71.1769,71.8776,-2.19598,0,1.24455,0,2.89645
05:13.5,13,35.1031,22.259,0.0375668,-1.33354,181.693,1.79607,235.147
05:13.5,8,53.2023,41.7655,2.52267,-0.749213,165.078,0.325087,287.517
05:13.5,15,42.6075,42.5095,0.0363209,-0.587657,145.615,0.367425,205.1
05:13.5,2,35.0979,29.7351,-1.86643,-3.05801,143.022,1.57188,203.935
05:13.5,7,41.7135,49.9983,1.71565,0.804682,155.118,0.408462,380.209
05:13.5,6,47.2835,19.7146,2.14366,2.99639,243.288,0.646451,278.418
05:13.5,11,43.9171,28.8475,2.09609,-0.867144,253.873,0.407643,274.92
05:13.5,10,39.5257,32.3831,0.670479,-3.03382,333.035,1.88947,334.337
05:13.5,16,35.3014,47.5268,1.75794,0,259.169,0,299.465
05:13.5,12,34.6378,38.4896,2.09743,2.87314,249.552,0.528102,239.687
05:13.5,3,71.1769,71.8776,-2.19608,0,1.24455,0,2.89645
05:13.5,13,35.0159,22.288,0.0356724,-1.22416,181.695,1.85226,235.239
05:13.5,8,53.1912,41.7827,2.51743,-0.532867,165.092,0.440038,287.537
05:13.5,15,42.5982,42.5231,0.0945312,-0.610567,145.618,0.315112,205.116
05:13.5,2,35.0919,29.6509,-1.86819,-3.07541,143.037,1.72573,204.019
05:13.5,7,41.7319,50.0113,1.71718,1.00012,155.125,0.468894,380.232
05:13.5,6,47.2873,19.6812,2.146,3.03759,243.293,0.683472,278.451
05:13.5,11,43.9052,28.8613,2.1502,-0.652959,253.887,0.350113,274.938
05:13.5,10,39.5135,32.2899,0.761896,-3.0037,333.141,1.87387,334.431
05:13.6,16,35.3014,47.5268,1.76133,0,259.173,0,299.465
05:13.6,12,34.6431,38.4629,2.12075,2.96539,249.555,0.549276,239.715
05:13.6,3,71.1769,71.8776,-2.19616,0,1.24455,0,2.89645
05:13.6,13,34.9295,22.3262,0.0447156,-1.13153,181.696,1.90055,235.333
05:13.6,8,53.1798,41.807,2.51308,-0.413832,165.101,0.571463,287.564
05:13.6,15,42.5901,42.5344,0.134736,-0.618186,145.628,0.266443,205.13
05:13.6,2,35.0868,29.5598,-1.86587,-3.0875,143.049,1.85972,204.11
05:13.6,7,41.7555,50.0226,1.72322,1.15941,155.132,0.539555,380.258
05:13.6,6,47.2901,19.6457,2.15015,3.06912,243.299,0.720733,278.487
05:13.6,11,43.8985,28.8752,2.20244,-0.37548,253.902,0.298752,274.954
05:13.6,10,39.4987,32.1986,0.907112,-2.97407,333.383,1.84127,334.523
05:13.6,16,35.3014,47.5268,1.76707,0,259.178,0,299.465
05:13.6,12,34.6466,38.4354,2.13947,3.03291,249.579,0.554265,239.742
05:13.6,3,71.1769,71.8776,-2.19631,0,1.24455,0,2.89645
05:13.6,13,34.8454,22.373,0.0603844,-1.0412,181.696,1.93429,235.429
05:13.6,8,53.168,41.8389,2.51063,-0.34265,165.107,0.713473,287.598
05:13.6,15,42.5833,42.5437,0.16225,-0.629975,145.638,0.218862,205.142
05:13.6,2,35.0822,29.4618,-1.86199,-3.09711,143.059,1.99355,204.208
05:13.6,7,41.7837,50.0317,1.73614,1.28914,155.138,0.612672,380.288
05:13.6,6,47.2919,19.6084,2.15684,3.10306,243.308,0.756634,278.524
05:13.6,11,43.8969,28.8889,2.24602,-0.0173603,253.912,0.272487,274.967
05:13.6,10,39.4819,32.1104,1.05613,-2.94541,333.623,1.7785,334.613
05:13.7,16,35.3014,47.5268,1.77684,0,259.183,0,299.465
05:13.7,12,34.6485,38.4081,2.12977,3.08917,249.683,0.547475,239.77
05:13.7,3,71.1769,71.8776,-2.1964,0,1.24455,0,2.89645
05:13.7,13,34.7646,22.4276,0.0806963,-0.955702,181.697,1.95443,235.527
05:13.7,8,53.1557,41.8775,2.50932,-0.299494,165.111,0.845594,287.639
05:13.7,15,42.5778,42.5514,0.19889,-0.616355,145.646,0.177647,205.151
05:13.7,2,35.0781,29.3578,-1.85723,-3.10418,143.065,2.10894,204.313
05:13.7,7,41.8166,50.0382,1.73832,1.40372,155.153,0.690926,380.321
05:13.7,6,47.2927,19.5689,2.16211,3.12769,243.319,0.801316,278.564
05:13.7,11,43.9006,28.9018,2.25922,0.382185,253.918,0.270032,274.981
05:13.7,10,39.4634,32.0268,1.16833,-2.91656,333.696,1.69042,334.699
05:13.7,16,35.3014,47.5268,1.79127,0,259.187,0,299.465
05:13.7,12,34.6489,38.3811,2.08718,3.13874,249.706,0.535738,239.797
05:13.7,3,71.1769,71.8776,-2.19651,0,1.24455,0,2.89645
05:13.7,13,34.6881,22.4888,0.106748,-0.875529,181.699,1.95811,235.625
05:13.7,8,53.1428,41.923,2.51383,-0.270363,165.113,0.979806,287.686
05:13.7,15,42.5736,42.5576,0.252783,-0.579789,145.65,0.144275,205.159
05:13.7,2,35.0745,29.2492,-1.85471,-3.10939,143.066,2.19451,204.421
05:13.7,7,41.8542,50.0415,1.74045,1.50608,155.157,0.776314,380.359
05:13.7,6,47.2926,19.5274,2.16376,-3.13705,243.329,0.839624,278.605
05:13.7,11,43.9094,28.9132,2.26041,0.74157,253.932,0.297971,274.995
05:13.7,10,39.4437,31.9482,1.22032,-2.88991,333.909,1.59308,334.78
05:13.8,16,35.3014,47.5268,1.80836,0,259.189,0,299.465
05:13.8,12,34.6482,38.3553,2.0554,-3.10917,249.744,0.508385,239.822
05:13.8,3,71.1769,71.8776,-2.19679,0,1.24455,0,2.89645
05:13.8,13,34.6178,22.556,0.136116,-0.784925,181.701,1.93765,235.722
05:13.8,8,53.1291,41.9754,2.52081,-0.250745,165.115,1.11677,287.74
05:13.8,15,42.5705,42.5631,0.316011,-0.494887,145.668,0.12016,205.165
05:13.8,2,35.0712,29.1365,-1.84825,-3.11339,143.068,2.27248,204.534
05:13.8,7,41.8961,50.0415,1.74691,1.58872,155.16,0.859818,380.401
05:13.8,6,47.2917,19.4841,2.16356,-3.11466,243.338,0.872585,278.649
05:13.8,11,43.9231,28.9229,2.27802,1.0115,253.943,0.350133,275.012
05:13.8,10,39.4236,31.8754,1.22082,-2.86561,334.178,1.48336,334.855
05:13.8,16,35.3014,47.5268,1.82515,0,259.19,0,299.465
05:13.8,12,34.647,38.3312,2.01426,-3.08357,249.781,0.473667,239.847
05:13.8,3,71.1769,71.8776,-2.19721,0,1.24455,0,2.89645
05:13.8,13,34.5551,22.6276,0.163407,-0.697181,181.708,1.89577,235.817
05:13.8,8,53.1142,42.0343,2.52791,-0.245989,165.116,1.24569,287.801
05:13.8,15,42.5684,42.5682,0.359506,-0.332886,145.686,0.108334,205.171
05:13.8,2,35.0682,29.0208,-1.83583,-3.11653,143.074,2.3264,204.65
05:13.8,7,41.942,50.0382,1.74767,1.65994,155.166,0.940931,380.447
05:13.8,6,47.29,19.439,2.16252,-3.10047,243.346,0.913095,278.694
05:13.8,11,43.9411,28.9306,2.28393,1.21066,253.952,0.406803,275.032
05:13.8,10,39.4033,31.8093,1.16375,-2.8353,334.25,1.34814,334.924
05:13.9,16,35.3014,47.5268,1.8382,0,259.19,0,299.465
05:13.9,12,34.6453,38.3092,1.96666,-3.05978,249.789,0.427608,239.869
05:13.9,3,71.1769,71.8776,-2.19766,0,1.24455,0,2.89645
05:13.9,13,34.5002,22.7027,0.176262,-0.607908,181.716,1.84553,235.91
05:13.9,8,53.0981,42.0993,2.53561,-0.24209,165.117,1.371,287.868
05:13.9,15,42.5674,42.5738,0.379567,-0.146592,145.697,0.11491,205.176
05:13.9,2,35.0655,28.9037,-1.82529,-3.11985,143.081,2.34469,204.767
05:13.9,7,41.9916,50.031,1.74021,1.73249,155.172,1.02271,380.497
05:13.9,6,47.2876,19.3922,2.16187,-3.08948,243.351,0.946185,278.741
05:13.9,11,43.9629,28.9359,2.26038,1.36598,253.964,0.46364,275.054
